accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement
U87842	U87842.1	U87842							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Division of Viral and Rickettsial Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd., NE, Atlanta, GA 30333	II			0.0066883357250429700	0	3	0	good	good	good	good	good		FALSE
U87841	U87841.1	U87841							1998-01-02		Loparev et al		Loparev,V.N.,Parsons,J.M.,Esposito,J.J.	Division of Viral and Rickettsial Diseases, Centers for Disease Control and Prevention, 1600 Clifton Rd., NE, Atlanta, GA 30333	I			0.006140693376062960	0	6	0	good	good	good	good	good		FALSE
U84504	U84504.1	U84504							1997-04-02		Neubauer et al		Neubauer,H.,Reischl,U.,Ropp,S.,Esposito,J.J.,Wolf,H.,Meyer,H.,Koestler,J.	Institute of Medical Microbiology and Hygiene, University of Regensburg, Franz-Josef-Strauss-Allee 11, Regensburg 93053	I			0.018259815728491100	0	10	0	good	good	good	good	good		TRUE
U84503	U84503.1	U84503							1997-04-02		Neubauer et al		Neubauer,H.,Reischl,U.,Ropp,S.,Esposito,J.J.,Wolf,H.,Meyer,H.,Koestler,J.	Institute of Medical Microbiology and Hygiene, University of Regensburg, Franz-Josef-Strauss-Allee 11, Regensburg 93053	IIa			0.015100730696874900	0	8	0	good	good	good	good	good		TRUE
PP533355	PP533355.1	NY-NYCPHL-001295	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9756856938577850	3260	606	1	good	good	good	good	good		FALSE
PP533354	PP533354.1	NY-NYCPHL-001294	2024-03-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1	0.9468431968115050	8949	579	0	mediocre	good	good	good	good		FALSE
PP533353	PP533353.1	NY-NYCPHL-001293	2024-03-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1	0.9759848688447280	3202	598	0	good	good	good	good	good		FALSE
PP533352	PP533352.1	NY-NYCPHL-001292	2024-03-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9540538210730750	7527	593	0	mediocre	good	good	good	good		FALSE
PP533351	PP533351.1	NY-NYCPHL-001291	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9663909862125970	5094	598	0	good	good	good	good	good		FALSE
PP533350	PP533350.1	NY-NYCPHL-001289	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9570557124674840	6935	595	0	good	good	good	good	good		FALSE
PP533349	PP533349.1	NY-NYCPHL-001268	2024-01-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9737588041113740	3641	605	0	good	good	good	good	good		FALSE
PP533348	PP533348.1	NY-NYCPHL-001267	2024-01-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9904720372802460	345	616	0	good	good	good	good	good		FALSE
PP533347	PP533347.1	NY-NYCPHL-001266	2024-01-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.990710363117302	298	615	0	good	good	good	good	good		FALSE
PP533346	PP533346.1	NY-NYCPHL-001255	2023-12-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9827695490570920	2608	605	3	good	good	good	good	good		FALSE
PP533345	PP533345.1	NY-NYCPHL-001254	2023-12-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9697478309813450	4421	602	3	good	good	good	good	good		FALSE
PP533344	PP533344.1	NY-NYCPHL-001250	2023-11-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.977835697153781	2837	600	1	good	good	good	good	good		FALSE
PP533343	PP533343.1	NY-NYCPHL-001249	2023-11-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9557981633698260	7184	587	2	mediocre	good	good	good	good		FALSE
PP533342	PP533342.1	NY-NYCPHL-001248	2023-11-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1	0.9876577640979870	1726	608	1	good	good	good	good	good		FALSE
PP533341	PP533341.1	NY-NYCPHL-001247	2023-11-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1	0.9875411365607050	923	606	0	good	good	good	good	good		FALSE
PP533340	PP533340.1	NY-NYCPHL-001246	2023-11-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9821711990832060	1977	610	5	good	good	good	good	mediocre	OPG198:230-283	FALSE
PP533339	PP533339.1	NY-NYCPHL-001245	2023-11-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9792910059885710	2549	600	1	good	good	good	good	good		FALSE
PP533338	PP533338.1	NY-NYCPHL-001244	2023-11-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	C.1	0.986532054825084	1117	620	5	good	good	good	good	good		FALSE
PP533337	PP533337.1	NY-NYCPHL-001243	2023-11-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	C.1	0.9851223828527100	1395	621	5	good	good	good	good	good		FALSE
PP533336	PP533336.1	NY-NYCPHL-001242	2023-11-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1	0.9861973845007070	1187	606	1	good	good	good	good	good		FALSE
PP533335	PP533335.1	NY-NYCPHL-001252	2023-12-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9765477234811800	2986	600	3	good	good	good	good	good		FALSE
PP533334	PP533334.1	NY-NYCPHL-001251	2023-12-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9841335841670510	1574	597	1	good	good	good	good	good		FALSE
PP533333	PP533333.1	NY-NYCPHL-001228	2023-10-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.984889127778144	1429	604	1	good	good	good	good	good		FALSE
PP533332	PP533332.1	NY-NYCPHL-001227	2023-10-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9853759209772370	1350	607	0	good	good	good	good	good		FALSE
PP533331	PP533331.1	NY-NYCPHL-001225	2023-10-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9745447722974100	3480	596	1	good	good	good	good	good		FALSE
PP533330	PP533330.1	NY-NYCPHL-001224	2023-10-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9745447722974100	3468	589	0	good	good	good	good	good		FALSE
PP533329	PP533329.1	NY-NYCPHL-001223	2023-10-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9447489719029050	9349	570	0	mediocre	good	good	good	good		FALSE
PP533328	PP533328.1	NY-NYCPHL-001222	2023-10-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9900562347560200	411	613	0	good	good	good	good	good		FALSE
PP533327	PP533327.1	NY-NYCPHL-001220	2023-09-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9819886516335460	1940	594	2	good	good	good	good	good		FALSE
PP533326	PP533326.1	NY-NYCPHL-001218	2023-08-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.992125105852167	17	613	3	good	good	good	good	good		FALSE
PP533325	PP533325.1	NY-NYCPHL-001217	2023-08-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9921301766146580	17	613	1	good	good	good	good	good		FALSE
PP533324	PP533324.1	NY-NYCPHL-001216	2023-08-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9921352473771480	17	613	0	good	good	good	good	good		FALSE
PP533323	PP533323.1	NY-NYCPHL-001288	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1	0.9646466439158460	5438	590	0	good	good	good	good	good		FALSE
PP533322	PP533322.1	NY-NYCPHL-001287	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1	0.9472184332358060	9612	586	0	mediocre	good	good	good	good		FALSE
PP533321	PP533321.1	NY-NYCPHL-001286	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9620453427581910	5951	591	0	good	good	good	good	good		FALSE
PP533320	PP533320.1	NY-NYCPHL-001285	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9766744925434440	3792	611	0	good	good	good	good	good		FALSE
PP533319	PP533319.1	NY-NYCPHL-001284	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9668118594993130	5472	603	0	good	good	good	good	good		FALSE
PP533318	PP533318.1	NY-NYCPHL-001283	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9747577443220140	4281	605	0	good	good	good	good	good		FALSE
PP533317	PP533317.1	NY-NYCPHL-001282	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9678310827599150	5660	601	0	good	good	good	good	good		FALSE
PP533316	PP533316.1	NY-NYCPHL-001281	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.956264673518957	7937	592	0	mediocre	good	good	good	good		FALSE
PP533315	PP533315.1	NY-NYCPHL-001280	2024-02-XX	North America	USA	New York	New York City	Homo sapiens	2024-03-31		Clabby et al		Clabby,T.T.,Wang,J.C.,Amin,H.S.,Taki,F.,Su,M.,De La Cruz,N.,Olsen,A.,Thi,C.,Silver,S.,Akther,S.,Chowdhury,M.,Omoregie,E.,Siemetzki-Kapoor,U.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	IIb	hMPXV-1	B.1.20	0.9551491057710350	8149	595	0	mediocre	good	good	good	good		FALSE
